,,ANN,RF,SVR
rec1
,donor1,463.6024,117.958,318.6326088255497
,donor2,406.1295,145.373,318.51685039769785
,donor3,406.14676,147.497,318.47341471610275
,donor4,408.00943,134.603,318.51332591431014
,donor5,403.67535,129.996,318.53154035735037
,donor6,408.748,151.314,318.4846526520382
,donor7,422.66568,147.495,318.48299214027065
,donor8,414.31027,136.612,318.44214223386876
,donor9,417.17654,152.405,318.4774954254592
,donor10,356.93845,99.376,318.6057762906598
rec2
,donor1,397.7462,134.391,318.600162595107
,donor2,386.80008,88.495,318.5830168292805
,donor3,386.4548,90.176,318.5822510831779
,donor4,385.50162,81.67,318.58609734023634
,donor5,385.06894,87.703,318.5839351559777
,donor6,386.78073,86.62,318.5835277582236
,donor7,387.53314,86.422,318.583332586868
,donor8,394.24005,91.287,318.5793844077644
,donor9,387.08688,89.365,318.5832703602005
,donor10,419.24106,102.52,318.6686763224453
rec3
,donor1,415.15552,141.25,318.62080055210214
,donor2,392.10995,85.003,318.5897862771847
,donor3,394.1879,127.553,318.5872655507563
,donor4,395.83542,117.877,318.5946494247957
,donor5,392.26346,86.069,318.59164068797674
,donor6,396.57367,123.96,318.5896244315916
,donor7,395.2003,120.757,318.58968034361993
,donor8,398.04916,107.204,318.5822589226614
,donor9,393.81305,110.908,318.5893706349962
,donor10,393.5486,103.279,318.6469879217501
rec4
,donor1,422.24966,138.103,318.6194521478864
,donor2,396.93903,84.694,318.58440864731125
,donor3,399.60257,131.258,318.57962705767994
,donor4,401.0396,123.726,318.58857003736654
,donor5,397.10794,85.035,318.58676142295906
,donor6,401.9694,134.467,318.5823902315852
,donor7,400.2783,128.588,318.58339627728003
,donor8,400.16916,120.246,318.5745530176549
,donor9,398.76187,125.149,318.58276857169176
,donor10,387.53378,102.715,318.63636156386593
rec5
,donor1,382.04898,119.892,318.59111132282084
,donor2,385.70206,109.62,318.58203714119526
,donor3,385.47006,108.857,318.5826118773631
,donor4,380.89426,102.101,318.5843255430173
,donor5,384.5387,108.668,318.5823926594184
,donor6,385.254,107.763,318.5832378615302
,donor7,386.19473,108.687,318.5826944943422
,donor8,390.70197,112.447,318.5808308004459
,donor9,385.89484,108.84,318.5827944248184
,donor10,379.23923,113.391,318.61994046496005
