,dataset,variance score,max error,mae,mse,r2 score,,VARIANCE SCORE,ANN,RF,SVR
Ann,regAll.csv,-0.169358701,412.4683736,77.90587362,13815.01986,-0.180524381,,regAll.csv,-0.169358701,-0.0615543,0.000322003
,regBalanced.csv,-0.395692917,483.5076163,131.9544627,29426.83724,-0.481758155,,regBalanced.csv,-0.395692917,0.004311997,0.03146328
,regEncoded.csv,-0.185603105,420.7144674,78.53466543,13863.54948,-0.18727076,,regEncoded.csv,-0.185603105,-0.049757721,0.001027328
,regEncodedBalanced.csv,-0.545059986,646.9694621,136.5568492,33803.22461,-0.667261686,,regEncodedBalanced.csv,-0.545059986,0.062630864,0.012820246
,regNo365.csv,-0.658976811,307.2705523,90.33988953,12862.28288,-0.748474932,,regNo365.csv,-0.658976811,-0.228745503,0.015365777
,regOnly365.csv,-3.190283128,4.130564372,1.795922399,3.638839086,-38.44159304,,regOnly365.csv,-3.190283128,0,0
,regSynthetic.csv,0.203651296,312.6946812,58.28823217,5929.381022,0.197429915,,regSynthetic.csv,0.203651296,0.949135219,0.028157102
,regSyntheticWith365.csv,0.64984605,365.4146868,63.38397344,8611.255697,0.648270641,,regSyntheticWith365.csv,0.64984605,0.891426173,0.5384983
Random Forest,regAll.csv,-0.0615543,353.2956667,77.9139009,12462.6481,-0.067289581,,,,,
,regBalanced.csv,0.004311997,287.9873333,124.4170383,20237.97521,-0.023988937,,MAX ERROR,ANN,RF,SVR
,regEncoded.csv,-0.049757721,349.7506667,77.29247142,12353.47174,-0.065931912,,regAll.csv,412.4683736,353.2956667,363.8310825
,regEncodedBalanced.csv,0.062630864,254.5806667,121.2868862,19087.22188,0.060657737,,regBalanced.csv,483.5076163,287.9873333,306.991011
,regNo365.csv,-0.228745503,266.604,76.08855432,9248.718052,-0.263383951,,regEncoded.csv,420.7144674,349.7506667,364.220281
,regOnly365.csv,0,0.868666667,0.007290376,0.006577703,-0.00141844,,regEncodedBalanced.csv,646.9694621,254.5806667,301.798661
,regSynthetic.csv,0.949135219,136.3393333,13.52728598,377.0364545,0.949010183,,regNo365.csv,307.2705523,266.604,292.9038786
,regSyntheticWith365.csv,0.891426173,271.7773333,29.77724564,2665.114751,0.891140709,,regOnly365.csv,4.130564372,0.868666667,1.030645391
SVR,regAll.csv,0.000322003,363.8310825,43.98775372,13504.30875,-0.156420493,,regSynthetic.csv,312.6946812,136.3393333,325.6959931
,regBalanced.csv,0.03146328,306.991011,117.6295978,24438.40024,-0.206733475,,regSyntheticWith365.csv,365.4146868,271.7773333,338.1577677
,regEncoded.csv,0.001027328,364.220281,43.70458119,13495.07838,-0.155361091,,,,,
,regEncodedBalanced.csv,0.012820246,301.798661,118.2341547,25022.85463,-0.24212287,,MAE,ANN,RF,SVR
,regNo365.csv,0.015365777,292.9038786,62.47102519,8866.727814,-0.178193766,,regAll.csv,77.90587362,77.9139009,43.98775372
,regOnly365.csv,0,1.030645391,0.078414309,0.017524647,-0.00141844,,regBalanced.csv,131.9544627,124.4170383,117.6295978
,regSynthetic.csv,0.028157102,325.6959931,60.66569141,8403.524826,-0.138174346,,regEncoded.csv,78.53466543,77.29247142,43.70458119
,regSyntheticWith365.csv,0.5384983,338.1577677,83.33274918,12335.87036,0.496862797,,regEncodedBalanced.csv,136.5568492,121.2868862,118.2341547
,,,,,,,,regNo365.csv,90.33988953,76.08855432,62.47102519
,,,,,,,,regOnly365.csv,1.795922399,0.007290376,0.078414309
,,,,,,,,regSynthetic.csv,58.28823217,13.52728598,60.66569141
,,,,,,,,regSyntheticWith365.csv,63.38397344,29.77724564,83.33274918
,,,,,,,,,,,
,,,,,,,,MSE,ANN,RF,SVR
,,,,,,,,regAll.csv,13815.01986,12462.6481,13504.30875
,,,,,,,,regBalanced.csv,29426.83724,20237.97521,24438.40024
,,,,,,,,regEncoded.csv,13863.54948,12353.47174,13495.07838
,,,,,,,,regEncodedBalanced.csv,33803.22461,19087.22188,25022.85463
,,,,,,,,regNo365.csv,12862.28288,9248.718052,8866.727814
,,,,,,,,regOnly365.csv,3.638839086,0.006577703,0.017524647
,,,,,,,,regSynthetic.csv,5929.381022,377.0364545,8403.524826
,,,,,,,,regSyntheticWith365.csv,8611.255697,2665.114751,12335.87036
,,,,,,,,,,,
,,,,,,,,R2 SCORE,ANN,RF,SVR
,,,,,,,,regAll.csv,-0.180524381,-0.067289581,-0.156420493
,,,,,,,,regBalanced.csv,-0.481758155,-0.023988937,-0.206733475
,,,,,,,,regEncoded.csv,-0.18727076,-0.065931912,-0.155361091
,,,,,,,,regEncodedBalanced.csv,-0.667261686,0.060657737,-0.24212287
,,,,,,,,regNo365.csv,-0.748474932,-0.263383951,-0.178193766
,,,,,,,,regOnly365.csv,-38.44159304,-0.00141844,-0.00141844
,,,,,,,,regSynthetic.csv,0.197429915,0.949010183,-0.138174346
,,,,,,,,regSyntheticWith365.csv,0.648270641,0.891140709,0.496862797
